"Featureid2","Featureid","tubeID","IndID","NestID","SampleForm","VisualInsp","TEFPCR","FSSC","FSSC_strains","FSSCAbundance","Stage","FSSC2"
"2830-ITS","2830","Pu.ACN4H5","H5N4","N28","Egg","EviUn","EFiNeg",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"2848-ITS","2848","Pu.ACN4H7","H7N4","N28","Egg","EviUn","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2856-ITS","2856","Pu.NHE17","NHE17","N28","Egg","EviUn","EFiNeg",1,1,5,"UnhatchedEggED","FSSC_Infected"
"2857-ITS","2857","Pu.NHE18","NHE18","N28","Egg","EviUn","EFiPos",1,2,16567,"UnhatchedEggED","FSSC_Infected"
"2858-ITS","2858","Pu.NHE19","NHE19","N28","Egg","EviUn","EFiPos",1,1,7758,"UnhatchedEggED","FSSC_Infected"
"2901-E-ITS","2901-E","Pu.NHE30_Ext","NHE30","N29","Egg","EviUn","EFiPos",1,1,14827,"UnhatchedEggED","FSSC_Infected"
"2902-E-ITS","2902-E","Pu.NHE31_Ext","NHE31","N29","Egg","EVIH","EFiPos",1,3,18439,"UnhatchedEggLD","FSSC_Infected"
"2904-ITS","2904","Pu.NHE103","NHE103","N29","Egg","EviUn","EFiPos",1,3,13701,"UnhatchedEggLD","FSSC_Infected"
"2905-ITS","2905","Pu.NHE104","NHE104","N29","Egg","EviUn","EFiPos",1,1,14492,"UnhatchedEggED","FSSC_Infected"
"3001-ITS","3001","Pu.NHE8","NHE8","N30","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"3002-ITS","3002","Pu.NHE9","NHE9","N30","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"3003-E-ITS","3003-E","Pu.NHE27_Ext","NHE27","N30","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"3004-E-ITS","3004-E","Pu.NHE28_Ext","NHE28","N30","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
