"Featureid","tubeID","IndID","NestID","SampleForm","VisualInsp","TEFPCR","FSSC","FSSC_strains","FSSCAbundance","Stage","FSSC2"
"Ext-Blank1","ExtBlank1","ExtBlank1","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Ext-Blank2","ExtBlank2","ExtBlank2","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Ext-Blank3","ExtBlank3","ExtBlank3","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Ext-Blank4","ExtBlank4","ExtBlank4","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"ExtBlank1","ExtBlank1_22","ExtBlank1_22","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"ExtBlank2","ExtBlank2_22","ExtBlank2_22","None","Blank","ExtBlank","ExtBlank","NA","NA","NA","Blank","NA"
"Field-blank1","Field-blank1","Field-blank1","None","Blank","FieldBlank","FieldBlank","NA","NA","NA","Blank","NA"
"Field-blank2","Field-blank2","Field-blank2","None","Blank","FieldBlank","FieldBlank","NA","NA","NA","Blank","NA"
"Field-blank3","Field-blank3","Field-blank3","None","Blank","FieldBlank","FieldBlank","NA","NA","NA","Blank","NA"
"2224-I","Pu.NHE10_Int","NHE10","N22","Egg","EviUn","EFiNeg","NA","NA",0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2225","Pu.NHE11_Int","NHE11","N22","Egg","EviUn","EFiPos",1,1,17710,"UnhatchedEggED","FSSC_Infected"
"2301","Pu.NHE73","NHE73","23","Egg","EviH","EFiNeg",0,0,0,"UnhatchedEggLD","PCR(-)/NoFSSC"
"2302","Pu.NHE74","NHE74","23","Egg","EviUn","EFiPos",1,1,681,"UnhatchedEggED","FSSC_Infected"
"2303-1","Pu.NHE75","NHE75","23","Egg","EviUn","EFiPos",1,3,3811,"UnhatchedEggED","FSSC_Infected"
"2304","Pu.NHE76","NHE76","23","Egg","EviH","EFiNeg",1,1,3,"UnhatchedEggED","FSSC_Infected"
"2401","Pu.ACN9H1","H1N9","N24","Egg","EviH","EFiPos",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"2403","Pu.NHE59","NHE59","N24","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2404","Pu.NHE60","NHE60","N24","Egg","EviH","EFiPos",1,1,1,"UnhatchedEggED","FSSC_Infected"
"2405","Pu.NHE71","NHE71","N24","Egg","EviH","EFiNeg",1,1,3,"UnhatchedEggLD","FSSC_Infected"
"2406","Pu.NHE72","NHE72","N24","Egg","EviUn","EFiPos",1,3,18535,"UnhatchedEggED","FSSC_Infected"
"2501-24","Pu.NHE15","NHE15","25","Egg","EviUn","EFiPos",1,3,5410,"UnhatchedEggED","FSSC_Infected"
"2502-264","Pu.NHE16","NHE16","25","Egg","EviUn","EFiPos",0,0,0,"UnhatchedEggED","PCR(-)/NoFSSC"
"2601","Pu.NHE67","NHE67","N26","Egg","EviUn","EFiPos",1,1,13310,"UnhatchedEggED","FSSC_Infected"
"2602","Pu.NHE68","NHE68","N26","Egg","EviUn","EFiPos",1,1,17727,"UnhatchedEggED","FSSC_Infected"
"2603-367","Pu.NHE69","NHE69","N26","Egg","EviUn","EFiPos",1,1,14550,"UnhatchedEggED","FSSC_Infected"
"2604-358","Pu.NHE70","NHE70","N26","Egg","EviUn","EFiPos",1,1,15,"UnhatchedEggED","FSSC_Infected"
"2801","Pu.ACN4H1","H1N4","N28","Egg","EviH","EFiNeg",1,1,11,"HatchedEgg","FSSC_Infected"
"2803","Pu.ACN4H2","H2N4","N28","Egg","EviH","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2812","Pu.ACN4H3","H3N4","N28","Egg","EviUn","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2821","Pu.ACN4H4","H4N4","N28","Egg","EviUn","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2830","Pu.ACN4H5","H5N4","N28","Egg","EviUn","EFiNeg",0,0,0,"HatchedEgg","PCR(-)/NoFSSC"
"2839","Pu.ACN4H6","H6N4","N28","Egg","EviH","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2848","Pu.ACN4H7","H7N4","N28","Egg","EviUn","EFiNeg","NA","NA",0,"HatchedEgg","PCR(-)/NoFSSC"
"2856","Pu.NHE17","NHE17","N28","Egg","EviUn","EFiNeg",1,1,5,"UnhatchedEggED","FSSC_Infected"
"2857-340","Pu.NHE18","NHE18","N28","Egg","EviUn","EFiPos",1,2,16567,"UnhatchedEggED","FSSC_Infected"
"2858","Pu.NHE19","NHE19","N28","Egg","EviUn","EFiPos",1,1,7758,"UnhatchedEggED","FSSC_Infected"
"2901-E","Pu.NHE30_Ext","NHE30","N29","Egg","EviUn","EFiPos",1,1,14827,"UnhatchedEggED","FSSC_Infected"
"2902-E","Pu.NHE31_Ext","NHE31","N29","Egg","EviH","EFiPos",1,3,18439,"UnhatchedEggLD","FSSC_Infected"
